clusterName,clusterSize,f_score,PPV,AUC,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes
175,500,0.5830903790087463,0.7339449541284404,0.6598658847904103,216174,58,340,160,2,"['LINC02248', 'RP11-153I24.5']","['GLP2R', 'LINC02248', 'RP11-354I13.2', 'FBLN2', 'RP11-153I24.5', 'RP11-412K20.1', 'CARM1P1', 'RP11-60A8.1', 'TTC6', 'RP11-875G18.1']"
176,414,0.5652173913043478,0.7065217391304348,0.6568800146751207,216264,54,284,130,4,"['CARM1P1', 'FREM2', 'RP11-719N9.1', 'COBLL1']","['CTC-207P7.1', 'CARM1P1', 'FREM2', 'RP11-719N9.1', 'RP4-678D15.1', 'COBLL1', 'CTC-535M15.2', 'CTC-340A15.2', 'AC107218.3', 'TSHZ2']"
177,500,0.5121951219512195,0.5894736842105263,0.6677294572496209,216115,117,332,168,5,"['VIPR2', 'RP11-719N9.1', 'CALCRL', 'CTC-535M15.2', 'COBLL1']","['CTC-207P7.1', 'VIPR2', 'RP11-719N9.1', 'CALCRL', 'CTC-535M15.2', 'COBLL1', 'CTC-340A15.2', 'RP4-678D15.1', 'BMPR1B', 'TSHZ2']"
178,500,0.6222587719298246,0.6858006042296072,0.7267595175552184,216128,104,273,227,4,"['RP11-370B11.4', 'RP11-719N9.1', 'CTC-535M15.2', 'CTC-340A15.2']","['RP11-360K13.1', 'CTD-2195H9.1', 'RP11-370B11.4', 'RP11-719N9.1', 'CTC-535M15.2', 'CTC-340A15.2', 'COBLL1', 'COL24A1', 'TSHZ2', 'EPHA3']"
179,500,0.09183673469387754,0.07624810892586989,0.7449404528469421,213179,3053,248,252,3,"['AC004538.3', 'COL5A2', 'COL24A1']","['AC004538.3', 'COL5A2', 'CTXND1', 'COL24A1', 'CCBE1', 'THSD4', 'GRIA1', 'LRRC4C', 'ADGRL3', 'KCNMA1']"
180,500,0.5197704081632653,0.6104868913857678,0.6627595175552184,216128,104,337,163,3,"['RP11-142C4.6', 'BHLHE22', 'AC004538.3']","['RP11-142C4.6', 'FNDC1', 'CTD-2288O8.1', 'BHLHE22', 'AC004538.3', 'CTXND1', 'COL5A2', 'C9orf16', 'TMSB10', 'RPS27A']"
181,500,0.42916666666666664,0.5885714285714285,0.6028335121536128,216160,72,397,103,3,"['SLC30A8', 'AC004538.3', 'COL5A2']","['SLC30A8', 'RP11-142C4.6', 'FNDC1', 'AC004538.3', 'CTXND1', 'COL5A2', 'ANOS1', 'THSD4', 'GRIK1', 'TOX']"
182,500,0.3531073446327683,0.34305317324185247,0.699114377150468,215849,383,300,200,6,"['FNDC1', 'RP11-167H9.4', 'RP11-60A8.1', 'AC004538.3', 'CTXND1', 'COL5A2']","['FNDC1', 'RP11-167H9.4', 'RP11-60A8.1', 'AC004538.3', 'CTXND1', 'COL5A2', 'RP11-369E15.3', 'EPB41L4A', 'ITGA8', 'THSD4']"
183,500,0.4286570743405276,0.4897260273972603,0.6426554626512265,216083,149,357,143,4,"['ABCA13', 'RP11-60A8.1', 'CASC6', 'AC004538.3']","['ABCA13', 'FNDC1', 'RP11-60A8.1', 'CASC6', 'AC004538.3', 'MCTP2', 'CTXND1', 'RP11-369E15.3', 'AC026188.1', 'ADAMTSL1']"
184,500,0.4409620991253644,0.555045871559633,0.6207757038736172,216135,97,379,121,3,"['LINC02153', 'RP11-60A8.1', 'AC004538.3']","['ESRRAP2', 'FNDC1', 'LINC02153', 'RP11-60A8.1', 'AC004538.3', 'MCTP2', 'CTXND1', 'RP11-369E15.3', 'RP5-1101C3.1', 'RP11-875G18.1']"
185,500,0.5132299270072993,0.5319148936170213,0.7245421584224351,216034,198,275,225,3,"['NTS', 'LINC02153', 'RP11-60A8.1']","['NTS', 'FNDC1', 'LINC02153', 'RP11-60A8.1', 'AC004538.3', 'COL5A2', 'CTXND1', 'RP11-369E15.3', 'LINC02055', 'COL24A1']"
186,500,0.4873646209386281,0.7105263157894737,0.6078982574272078,216188,44,392,108,2,"['NTS', 'RP11-369E15.3']","['LINC02153', 'NTS', 'RP11-467L24.1', 'AC004538.3', 'RP11-369E15.3', 'CTXND1', 'ITGA4', 'LINC02055', 'CTC-552D5.1', 'DISC1']"
187,500,0.5208333333333333,0.6382978723404256,0.6498034518480151,216147,85,350,150,3,"['GABRQ', 'AC004538.3', 'ITGA4']","['FNDC1', 'GABRQ', 'AC004538.3', 'ITGA4', 'CYP1B1-AS1', 'LINC02055', 'COL24A1', 'ROR1', 'CDH20', 'GPC5']"
188,500,0.052634308234806054,0.043228279386712094,0.6926106959191981,211739,4493,297,203,4,"['CTXND1', 'LINC02055', 'COL24A1', 'CCBE1']","['AC004538.3', 'CTXND1', 'LINC02055', 'RP11-369E15.3', 'COL24A1', 'CCBE1', 'SPHKAP', 'GPC5', 'TAFA1', 'NELL1']"
189,349,0.6132756132756133,0.9883720930232558,0.6217741935804241,216382,1,264,85,3,"['CCN1', 'CTXND1', 'ATP10A']","['CCN1', 'ERG', 'ROBO3', 'CTXND1', 'CHRM5', 'ATP10A', 'ST18', 'MYO1B', 'RP5-1101C3.1', 'ADRA1A']"
190,336,0.6848659003831418,0.807909604519774,0.712719059369991,216362,34,193,143,2,"['HGF', 'FREM2']","['USH1C', 'SLC18A2', 'HGF', 'FREM2', 'RXRG', 'TSPAN18', 'ST18', 'RP11-875G18.1', 'ADAMTS16', 'DPF3']"
191,486,0.5847145488029465,0.8466666666666667,0.6306052560395609,216223,23,359,127,2,"['NTS', 'ST18']","['LINC02237', 'NTS', 'GABRQ', 'HGF', 'ITGA4', 'ST18', 'PRLR', 'HHIP', 'TRHDE', 'MITF']"
192,500,0.6456043956043956,0.7866108786610879,0.6878820711088091,216181,51,312,188,3,"['CASR', 'ITGA4', 'ATP10A']","['LGR6', 'LINC02237', 'RGS14', 'CASR', 'ITGA4', 'ATP10A', 'LINC01088', 'PRLR', 'EPB41L4A', 'C9orf16']"
193,500,0.45624999999999993,0.5309090909090909,0.6457017092752229,216103,129,354,146,4,"['SCGN', 'SLC47A1', 'XACT', 'HHIP']","['SCGN', 'LINC02237', 'ITGA4', 'SLC47A1', 'XACT', 'HHIP', 'COL12A1', 'C9orf16', 'TRHDE', 'RPL26']"
194,500,0.5052570093457944,0.570957095709571,0.6726993969440231,216102,130,327,173,3,"['HOPX', 'C9orf16', 'RPL26']","['SCGN', 'HOPX', 'HHIP', 'C9orf16', 'RPL26', 'ZFPM2-AS1', 'CCK', 'NNAT', 'HTR2C', 'RPL32']"
195,500,0.3477690288713911,0.4140625,0.6056531503200266,216082,150,394,106,4,"['ITGA4', 'NPNT', 'COL5A2', 'HHIP']","['ITGA4', 'NPNT', 'COL5A2', 'HHIP', 'TRHDE', 'C9orf16', 'HTR2C', 'CCK', 'SDK1', 'RPL26']"
196,500,0.43233082706766923,0.5036496350364964,0.6376855229568242,216096,136,362,138,2,"['LINC02196', 'ITGA4']","['MORC1', 'LINC02196', 'SCART1', 'TG', 'TSPAN18', 'ITGA4', 'DPF3', 'NPNT', 'TRHDE', 'SDK1']"
