ID	Label	PrefLabel	Entity Type	TYPE	Property Assertions	Synonyms	Cluster_ID	Clustering_Reference	Function	cell_set_preferred_alias	original_label	cell_set_label	cell_set_aligned_alias	cell_set_additional_aliases	cell_set_alias_assignee	cell_set_alias_citation	Metadata	Exemplar_of	Composed_primarily_of	Comment	Aliases	Rank
ID	LABEL	A skos:prefLabel	TI %	TYPE	I 'subcluster of' SPLIT=|	A oboInOwl:hasExactSynonym SPLIT=|	A 'cluster id'	>AI oboInOwl:hasDbXref	TI capable_of some %	A n2o:cell_set_preferred_alias	A n2o:original_label	A n2o:cell_set_label	A n2o:cell_set_aligned_alias	A n2o:cell_set_additional_aliases SPLIT=|	A n2o:cell_set_alias_assignee SPLIT=|	A n2o:cell_set_alias_citation SPLIT=|	A n2o:node_metadata	TI 'exemplar data of' some %	TI 'composed primarily of' some %	A rdfs:comment	A oboInOwl:hasRelatedSynonym SPLIT=|	A 'cell_type_rank' SPLIT=|
PCL_INDV:CS202210140_248	HumanBrain 0248 - CS202210140_248	MGE_247	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_484		CS202210140_248	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		MGE_247		HumanBrain 0248			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051248				
PCL_INDV:CS202210140_249	HumanBrain 0249 - CS202210140_249	MGE_248	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_484		CS202210140_249	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		MGE_248		HumanBrain 0249			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051249				
PCL_INDV:CS202210140_250	HumanBrain 0250 - CS202210140_250	MGE_249	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_484		CS202210140_250	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		MGE_249		HumanBrain 0250			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051250				
PCL_INDV:CS202210140_251	HumanBrain 0251 - CS202210140_251	MGE_250	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_484		CS202210140_251	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		MGE_250		HumanBrain 0251			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051251				
PCL_INDV:CS202210140_252	HumanBrain 0252 - CS202210140_252	MGE_251	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_484		CS202210140_252	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		MGE_251		HumanBrain 0252			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051252				
PCL_INDV:CS202210140_253	HumanBrain 0253 - CS202210140_253	MGE_252	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_484		CS202210140_253	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		MGE_252		HumanBrain 0253			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051253				
PCL_INDV:CS202210140_254	HumanBrain 0254 - CS202210140_254	MGE_253	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_484		CS202210140_254	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		MGE_253		HumanBrain 0254			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051254				
PCL_INDV:CS202210140_255	HumanBrain 0255 - CS202210140_255	MGE_254	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_484		CS202210140_255	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		MGE_254		HumanBrain 0255			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051255				
PCL_INDV:CS202210140_256	HumanBrain 0256 - CS202210140_256	MGE_255	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_484		CS202210140_256	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		MGE_255		HumanBrain 0256			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051256				
PCL_INDV:CS202210140_257	HumanBrain 0257 - CS202210140_257	MGE_256	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_484		CS202210140_257	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		MGE_256		HumanBrain 0257			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051257				
