Taxonomy_node_ID	clusterName	Markers
CS202210140_103	DLCT6b_102	ensembl:ENSG00000259846|ensembl:ENSG00000225649|ensembl:ENSG00000225539|ensembl:ENSG00000178031
CS202210140_104	DLCT6b_103	ensembl:ENSG00000259846|ensembl:ENSG00000118523|ensembl:ENSG00000116711
CS202210140_105	DLCT6b_104	ensembl:ENSG00000259846|ensembl:ENSG00000132274
CS202210140_106	DLCT6b_105	ensembl:ENSG00000233882|ensembl:ENSG00000233423|ensembl:ENSG00000118523
CS202210140_107	DLCT6b_106	ensembl:ENSG00000288004|ensembl:ENSG00000249429|ensembl:ENSG00000151617
CS202210140_108	DLCT6b_107	ensembl:ENSG00000137809|ensembl:ENSG00000134207
CS202210140_109	DLCT6b_108	ensembl:ENSG00000249881|ensembl:ENSG00000225539|ensembl:ENSG00000254092|ensembl:ENSG00000178031|ensembl:ENSG00000170381
CS202210140_110	DLCT6b_109	ensembl:ENSG00000253199|ensembl:ENSG00000228358|ensembl:ENSG00000225539|ensembl:ENSG00000254092|ensembl:ENSG00000239498
CS202210140_111	DLCT6b_110	ensembl:ENSG00000105974|ensembl:ENSG00000132274|ensembl:ENSG00000286481|ensembl:ENSG00000137573
CS202210140_112	DLCT6b_111	ensembl:ENSG00000224982|ensembl:ENSG00000268089|ensembl:ENSG00000164616|ensembl:ENSG00000137573
CS202210140_113	DLCT6b_112	ensembl:ENSG00000259846|ensembl:ENSG00000137573|ensembl:ENSG00000235531
CS202210140_114	L5ET_113	ensembl:ENSG00000258220|ensembl:ENSG00000189238
CS202210140_115	L5ET_114	ensembl:ENSG00000231023|ensembl:ENSG00000287677|ensembl:ENSG00000249881
CS202210140_116	L5ET_115	ensembl:ENSG00000229807|ensembl:ENSG00000126545
CS202210140_117	Misc_116	ensembl:ENSG00000157554|ensembl:ENSG00000140479|ensembl:ENSG00000206190|ensembl:ENSG00000164142
CS202210140_118	L5ET_117	ensembl:ENSG00000286122|ensembl:ENSG00000268089|ensembl:ENSG00000081479
CS202210140_119	L5ET_118	ensembl:ENSG00000126545|ensembl:ENSG00000081479|ensembl:ENSG00000271774
CS202210140_120	CA13_119	ensembl:ENSG00000283384|ensembl:ENSG00000259417
CS202210140_121	ULIT_120	ensembl:ENSG00000065325|ensembl:ENSG00000236922|ensembl:ENSG00000137672|ensembl:ENSG00000075223
CS202210140_122	ULIT_121	ensembl:ENSG00000139865|ensembl:ENSG00000125869|ensembl:ENSG00000229618|ensembl:ENSG00000215559|ensembl:ENSG00000255595
CS202210140_123	ULIT_122	ensembl:ENSG00000258583|ensembl:ENSG00000256193|ensembl:ENSG00000170962
CS202210140_124	ULIT_123	ensembl:ENSG00000257986|ensembl:ENSG00000228358|ensembl:ENSG00000224271|ensembl:ENSG00000170962
CS202210140_125	ULIT_124	ensembl:ENSG00000250137|ensembl:ENSG00000256971|ensembl:ENSG00000287474|ensembl:ENSG00000257986
CS202210140_126	ULIT_125	ensembl:ENSG00000257986|ensembl:ENSG00000287474|ensembl:ENSG00000248673|ensembl:ENSG00000232973
CS202210140_127	ULIT_126	ensembl:ENSG00000288016|ensembl:ENSG00000288102|ensembl:ENSG00000229425
CS202210140_128	ULIT_127	ensembl:ENSG00000288016|ensembl:ENSG00000227835|ensembl:ENSG00000229425
CS202210140_129	ULIT_128	ensembl:ENSG00000287149|ensembl:ENSG00000196569|ensembl:ENSG00000204262|ensembl:ENSG00000254101
CS202210140_130	ULIT_129	ensembl:ENSG00000249429|ensembl:ENSG00000231023|ensembl:ENSG00000258859
CS202210140_131	ULIT_130	ensembl:ENSG00000287677|ensembl:ENSG00000258859|ensembl:ENSG00000224271|ensembl:ENSG00000204262
CS202210140_132	ULIT_131	ensembl:ENSG00000257986|ensembl:ENSG00000233005|ensembl:ENSG00000224271
CS202210140_133	Misc_132	ensembl:ENSG00000143119|ensembl:ENSG00000134954|ensembl:ENSG00000198963
CS202210140_134	ULIT_133	ensembl:ENSG00000198963|ensembl:ENSG00000140470|ensembl:ENSG00000106536|ensembl:ENSG00000138741
CS202210140_135	ULIT_134	ensembl:ENSG00000286312|ensembl:ENSG00000106018|ensembl:ENSG00000249881
CS202210140_136	ULIT_135	ensembl:ENSG00000169436|ensembl:ENSG00000223812|ensembl:ENSG00000259048
CS202210140_137	DLIT_136	ensembl:ENSG00000287989|ensembl:ENSG00000256995
CS202210140_138	DLIT_137	ensembl:ENSG00000248431|ensembl:ENSG00000287176|ensembl:ENSG00000250974
CS202210140_139	ULIT_138	ensembl:ENSG00000287989|ensembl:ENSG00000257986|ensembl:ENSG00000287172
CS202210140_140	DLIT_139	ensembl:ENSG00000250723|ensembl:ENSG00000248431
CS202210140_141	DLIT_140	ensembl:ENSG00000250723|ensembl:ENSG00000287172|ensembl:ENSG00000228358|ensembl:ENSG00000249881
CS202210140_142	DLIT_141	ensembl:ENSG00000287424|ensembl:ENSG00000287172|ensembl:ENSG00000198963|ensembl:ENSG00000168743
CS202210140_143	DLIT_142	ensembl:ENSG00000287176|ensembl:ENSG00000172673|ensembl:ENSG00000253693
CS202210140_144	DLIT_143	ensembl:ENSG00000248431|ensembl:ENSG00000225539|ensembl:ENSG00000170293
CS202210140_145	DLIT_144	ensembl:ENSG00000248431|ensembl:ENSG00000287172|ensembl:ENSG00000228358|ensembl:ENSG00000287092
CS202210140_146	DLIT_145	ensembl:ENSG00000189292|ensembl:ENSG00000253434|ensembl:ENSG00000229425
CS202210140_147	DLIT_146	ensembl:ENSG00000164616|ensembl:ENSG00000145536|ensembl:ENSG00000141668|ensembl:ENSG00000172554
CS202210140_148	DLIT_147	ensembl:ENSG00000104415|ensembl:ENSG00000255595
CS202210140_149	DLIT_148	ensembl:ENSG00000005059|ensembl:ENSG00000106536|ensembl:ENSG00000156140
CS202210140_150	DLIT_149	ensembl:ENSG00000226620|ensembl:ENSG00000172673|ensembl:ENSG00000251205|ensembl:ENSG00000224271|ensembl:ENSG00000135426
CS202210140_151	DLIT_150	ensembl:ENSG00000172673|ensembl:ENSG00000133110|ensembl:ENSG00000172987
CS202210140_152	DLIT_151	ensembl:ENSG00000286679|ensembl:ENSG00000206190
CS202210140_153	DLIT_152	ensembl:ENSG00000116711|ensembl:ENSG00000152953
CS202210140_154	Amex_153	ensembl:ENSG00000150722|ensembl:ENSG00000287907|ensembl:ENSG00000253868
CS202210140_155	Amex_154	ensembl:ENSG00000164935|ensembl:ENSG00000287880|ensembl:ENSG00000050628|ensembl:ENSG00000223930
CS202210140_156	Amex_155	ensembl:ENSG00000287880|ensembl:ENSG00000287176|ensembl:ENSG00000287907
CS202210140_157	Amex_156	ensembl:ENSG00000169836|ensembl:ENSG00000287277|ensembl:ENSG00000283445|ensembl:ENSG00000079931
CS202210140_158	Amex_157	ensembl:ENSG00000042832|ensembl:ENSG00000287277|ensembl:ENSG00000053747
CS202210140_159	Amex_158	ensembl:ENSG00000169836|ensembl:ENSG00000187260|ensembl:ENSG00000056291
CS202210140_160	Amex_159	ensembl:ENSG00000133110|ensembl:ENSG00000225539|ensembl:ENSG00000064989
CS202210140_161	Amex_160	ensembl:ENSG00000050628|ensembl:ENSG00000153404|ensembl:ENSG00000056291|ensembl:ENSG00000235531
CS202210140_162	Amex_161	ensembl:ENSG00000152595|ensembl:ENSG00000042832|ensembl:ENSG00000171643
CS202210140_163	Amex_162	ensembl:ENSG00000233005|ensembl:ENSG00000133110|ensembl:ENSG00000183287
CS202210140_164	CA13_163	ensembl:ENSG00000232667|ensembl:ENSG00000133110
CS202210140_165	Misc_164	ensembl:ENSG00000267659|ensembl:ENSG00000236373|ensembl:ENSG00000237880|ensembl:ENSG00000254092
CS202210140_166	Misc_165	ensembl:ENSG00000254401|ensembl:ENSG00000249743
CS202210140_167	Misc_166	ensembl:ENSG00000287092|ensembl:ENSG00000154493
CS202210140_168	Misc_167	ensembl:ENSG00000047617|ensembl:ENSG00000137672|ensembl:ENSG00000271774|ensembl:ENSG00000182463
CS202210140_169	Misc_168	ensembl:ENSG00000281131|ensembl:ENSG00000011465
CS202210140_170	CA13_169	ensembl:ENSG00000224271|ensembl:ENSG00000115232
CS202210140_171	Misc_170	ensembl:ENSG00000011465|ensembl:ENSG00000115290
CS202210140_172	Amex_171	ensembl:ENSG00000226383|ensembl:ENSG00000249743|ensembl:ENSG00000259048
CS202210140_173	Amex_172	ensembl:ENSG00000106113|ensembl:ENSG00000249743|ensembl:ENSG00000284418|ensembl:ENSG00000254101
CS202210140_174	Amex_173	ensembl:ENSG00000237844|ensembl:ENSG00000249743
CS202210140_175	Amex_174	ensembl:ENSG00000227712|ensembl:ENSG00000249743|ensembl:ENSG00000253868
CS202210140_176	Amex_175	ensembl:ENSG00000235160|ensembl:ENSG00000283384
CS202210140_177	Misc_176	ensembl:ENSG00000227835|ensembl:ENSG00000150893|ensembl:ENSG00000286251|ensembl:ENSG00000082438
CS202210140_178	Misc_177	ensembl:ENSG00000106018|ensembl:ENSG00000286251|ensembl:ENSG00000064989|ensembl:ENSG00000253693|ensembl:ENSG00000082438
CS202210140_179	Misc_178	ensembl:ENSG00000284418|ensembl:ENSG00000286251|ensembl:ENSG00000253693|ensembl:ENSG00000241956
CS202210140_180	CA13_179	ensembl:ENSG00000230333|ensembl:ENSG00000204262|ensembl:ENSG00000171502
CS202210140_181	CA13_180	ensembl:ENSG00000255240|ensembl:ENSG00000180828|ensembl:ENSG00000230333
CS202210140_182	CA13_181	ensembl:ENSG00000164756|ensembl:ENSG00000230333|ensembl:ENSG00000204262
CS202210140_183	CA13_182	ensembl:ENSG00000164694|ensembl:ENSG00000243944|ensembl:ENSG00000249743|ensembl:ENSG00000230333|ensembl:ENSG00000259417|ensembl:ENSG00000204262
CS202210140_184	CA13_183	ensembl:ENSG00000179869|ensembl:ENSG00000249743|ensembl:ENSG00000224944|ensembl:ENSG00000230333
CS202210140_185	CA13_184	ensembl:ENSG00000253199|ensembl:ENSG00000249743|ensembl:ENSG00000230333
CS202210140_186	CA13_185	ensembl:ENSG00000133636|ensembl:ENSG00000253199|ensembl:ENSG00000249743
CS202210140_187	CA13_186	ensembl:ENSG00000133636|ensembl:ENSG00000254092
CS202210140_188	CA13_187	ensembl:ENSG00000268089|ensembl:ENSG00000230333|ensembl:ENSG00000115232
CS202210140_189	CA13_188	ensembl:ENSG00000259417|ensembl:ENSG00000254101|ensembl:ENSG00000171502|ensembl:ENSG00000183287
CS202210140_190	CA13_189	ensembl:ENSG00000142871|ensembl:ENSG00000259417|ensembl:ENSG00000206190
CS202210140_191	CA4_190	ensembl:ENSG00000019991|ensembl:ENSG00000150893
CS202210140_192	CA4_191	ensembl:ENSG00000133636|ensembl:ENSG00000147488
CS202210140_193	CA4_192	ensembl:ENSG00000036828|ensembl:ENSG00000115232|ensembl:ENSG00000206190
CS202210140_194	CA4_193	ensembl:ENSG00000079689|ensembl:ENSG00000142494|ensembl:ENSG00000241743|ensembl:ENSG00000164161
CS202210140_195	CA4_194	ensembl:ENSG00000171476|ensembl:ENSG00000171159|ensembl:ENSG00000161970
CS202210140_196	CA4_195	ensembl:ENSG00000115232|ensembl:ENSG00000168743|ensembl:ENSG00000204262|ensembl:ENSG00000164161
CS202210140_197	CA4_196	ensembl:ENSG00000250974|ensembl:ENSG00000115232
CS202210140_198	CA4_197	ensembl:ENSG00000250974|ensembl:ENSG00000286251
CS202210140_199	CA4_198	ensembl:ENSG00000259417|ensembl:ENSG00000204262|ensembl:ENSG00000188107
CS202210140_200	DG_199	ensembl:ENSG00000270533|ensembl:ENSG00000133110
CS202210140_201	DG_200	ensembl:ENSG00000138435|ensembl:ENSG00000214279|ensembl:ENSG00000249675
CS202210140_202	DG_201	ensembl:ENSG00000249675|ensembl:ENSG00000286251|ensembl:ENSG00000142494
CS202210140_203	DG_202	ensembl:ENSG00000118271|ensembl:ENSG00000286251|ensembl:ENSG00000120907
CS202210140_204	DG_203	ensembl:ENSG00000235160|ensembl:ENSG00000288321|ensembl:ENSG00000147488
CS202210140_205	DG_204	ensembl:ENSG00000285724|ensembl:ENSG00000251372|ensembl:ENSG00000118271|ensembl:ENSG00000224944
CS202210140_206	DG_205	ensembl:ENSG00000250619|ensembl:ENSG00000249675|ensembl:ENSG00000285724
CS202210140_207	MSN_206	ensembl:ENSG00000106571|ensembl:ENSG00000237813|ensembl:ENSG00000286481|ensembl:ENSG00000164330
CS202210140_208	MSN_207	ensembl:ENSG00000149295|ensembl:ENSG00000196549|ensembl:ENSG00000236922
CS202210140_209	MSN_208	ensembl:ENSG00000257452|ensembl:ENSG00000181195|ensembl:ENSG00000156463
CS202210140_210	MSN_209	ensembl:ENSG00000286780|ensembl:ENSG00000260186|ensembl:ENSG00000156463|ensembl:ENSG00000184845
CS202210140_211	MSN_210	ensembl:ENSG00000275649|ensembl:ENSG00000260186|ensembl:ENSG00000286021
CS202210140_212	MSN_211	ensembl:ENSG00000184845|ensembl:ENSG00000139304|ensembl:ENSG00000286481
CS202210140_213	MSN_212	ensembl:ENSG00000286780|ensembl:ENSG00000181195|ensembl:ENSG00000223944
CS202210140_214	MSN_213	ensembl:ENSG00000253394|ensembl:ENSG00000181195
CS202210140_215	MSN_214	ensembl:ENSG00000184845|ensembl:ENSG00000224577|ensembl:ENSG00000144681
CS202210140_216	MSN_215	ensembl:ENSG00000258525|ensembl:ENSG00000184845|ensembl:ENSG00000287912
CS202210140_217	MSN_216	ensembl:ENSG00000149295|ensembl:ENSG00000181195|ensembl:ENSG00000287290|ensembl:ENSG00000064655|ensembl:ENSG00000241956
CS202210140_218	MSN_217	ensembl:ENSG00000214866|ensembl:ENSG00000181195
CS202210140_219	MSN_218	ensembl:ENSG00000286328|ensembl:ENSG00000151577|ensembl:ENSG00000196549
CS202210140_220	MSN_219	ensembl:ENSG00000016082|ensembl:ENSG00000145824|ensembl:ENSG00000128573
CS202210140_221	MSN_220	ensembl:ENSG00000016082|ensembl:ENSG00000150051|ensembl:ENSG00000140479
CS202210140_222	MSN_221	ensembl:ENSG00000149295|ensembl:ENSG00000285755|ensembl:ENSG00000253693
CS202210140_223	EMSN_222	ensembl:ENSG00000181195|ensembl:ENSG00000151892|ensembl:ENSG00000006128
CS202210140_224	EMSN_223	ensembl:ENSG00000064989|ensembl:ENSG00000151892|ensembl:ENSG00000006128
CS202210140_225	EMSN_224	ensembl:ENSG00000115353|ensembl:ENSG00000171509|ensembl:ENSG00000171094|ensembl:ENSG00000128573
CS202210140_226	EMSN_225	ensembl:ENSG00000130940|ensembl:ENSG00000260186|ensembl:ENSG00000053747
CS202210140_227	EMSN_226	ensembl:ENSG00000145824|ensembl:ENSG00000139304|ensembl:ENSG00000064655|ensembl:ENSG00000171509
CS202210140_228	EMSN_227	ensembl:ENSG00000056291|ensembl:ENSG00000164142|ensembl:ENSG00000241743|ensembl:ENSG00000119547
CS202210140_229	EMSN_228	ensembl:ENSG00000236948|ensembl:ENSG00000056291|ensembl:ENSG00000143995|ensembl:ENSG00000075223|ensembl:ENSG00000178031
CS202210140_230	EMSN_229	ensembl:ENSG00000075429|ensembl:ENSG00000144407|ensembl:ENSG00000143995|ensembl:ENSG00000179981|ensembl:ENSG00000178031
CS202210140_231	EMSN_230	ensembl:ENSG00000064655|ensembl:ENSG00000171509|ensembl:ENSG00000101180|ensembl:ENSG00000156140
CS202210140_232	EMSN_231	ensembl:ENSG00000056291|ensembl:ENSG00000152936|ensembl:ENSG00000171509|ensembl:ENSG00000099715|ensembl:ENSG00000038295|ensembl:ENSG00000174453
CS202210140_233	EMSN_232	ensembl:ENSG00000184984|ensembl:ENSG00000165029|ensembl:ENSG00000171509
CS202210140_234	EMSN_233	ensembl:ENSG00000239893|ensembl:ENSG00000237838|ensembl:ENSG00000081803|ensembl:ENSG00000102290
CS202210140_235	EMSN_234	ensembl:ENSG00000007372|ensembl:ENSG00000056291|ensembl:ENSG00000113494
CS202210140_236	Splat_235	ensembl:ENSG00000122585|ensembl:ENSG00000089250
CS202210140_237	MGE_236	ensembl:ENSG00000166450|ensembl:ENSG00000167306|ensembl:ENSG00000006128
CS202210140_238	Splat_237	ensembl:ENSG00000114200|ensembl:ENSG00000170962|ensembl:ENSG00000170293
CS202210140_239	Splat_238	ensembl:ENSG00000147488|ensembl:ENSG00000189108
CS202210140_240	MGE_239	ensembl:ENSG00000250979|ensembl:ENSG00000154864|ensembl:ENSG00000172987
CS202210140_241	MGE_240	ensembl:ENSG00000250979|ensembl:ENSG00000138829|ensembl:ENSG00000163377|ensembl:ENSG00000110975
CS202210140_242	MGE_241	ensembl:ENSG00000250979|ensembl:ENSG00000153162|ensembl:ENSG00000110693|ensembl:ENSG00000180777
CS202210140_243	MGE_242	ensembl:ENSG00000005059|ensembl:ENSG00000138829|ensembl:ENSG00000196549|ensembl:ENSG00000110693|ensembl:ENSG00000178031
CS202210140_244	MGE_243	ensembl:ENSG00000251033|ensembl:ENSG00000181195|ensembl:ENSG00000104327|ensembl:ENSG00000112319
CS202210140_245	MGE_244	ensembl:ENSG00000122585|ensembl:ENSG00000166863|ensembl:ENSG00000054803
