Taxonomy_node_ID	clusterName	Markers
CS202210140_1	Bcell_0	ensembl:ENSG00000156738
CS202210140_2	Tcell_1	ensembl:ENSG00000116824|ensembl:ENSG00000172673
CS202210140_3	Nkcell_2	ensembl:ENSG00000115523|ensembl:ENSG00000105374
CS202210140_4	Mono_3	ensembl:ENSG00000085265
CS202210140_5	Mgl_4	ensembl:ENSG00000258667|ensembl:ENSG00000122862
CS202210140_6	Mgl_5	ensembl:ENSG00000077420|ensembl:ENSG00000118271
CS202210140_7	Mgl_6	ensembl:ENSG00000140678|ensembl:ENSG00000006747|ensembl:ENSG00000231535
CS202210140_8	Mgl_7	ensembl:ENSG00000173391|ensembl:ENSG00000168329|ensembl:ENSG00000273409
CS202210140_9	Mgl_8	ensembl:ENSG00000229140|ensembl:ENSG00000231131|ensembl:ENSG00000168329
CS202210140_10	Mgl_9	ensembl:ENSG00000204472|ensembl:ENSG00000168329|ensembl:ENSG00000273409
CS202210140_11	Mgl_10	ensembl:ENSG00000231131|ensembl:ENSG00000169313|ensembl:ENSG00000107099
CS202210140_12	Mgl_11	ensembl:ENSG00000232591|ensembl:ENSG00000273409|ensembl:ENSG00000169313
CS202210140_13	Mgl_12	ensembl:ENSG00000260314|ensembl:ENSG00000124491
CS202210140_14	VendPLVAP_13	ensembl:ENSG00000130300
CS202210140_15	VendAC_14	ensembl:ENSG00000010319|ensembl:ENSG00000180229
CS202210140_16	VendC_15	ensembl:ENSG00000143341|ensembl:ENSG00000118777|ensembl:ENSG00000085276
CS202210140_17	VendVC_16	ensembl:ENSG00000119121|ensembl:ENSG00000085276
CS202210140_18	VendV_17	ensembl:ENSG00000115594|ensembl:ENSG00000122862
CS202210140_19	VendA_18	ensembl:ENSG00000111341|ensembl:ENSG00000085276
CS202210140_20	Vsmc_19	ensembl:ENSG00000107796|ensembl:ENSG00000085276
CS202210140_21	Vsmc_20	ensembl:ENSG00000107796|ensembl:ENSG00000149591
CS202210140_22	Per_21	ensembl:ENSG00000185633|ensembl:ENSG00000111404
CS202210140_23	Per_22	ensembl:ENSG00000249669|ensembl:ENSG00000173638
CS202210140_24	Per_23	ensembl:ENSG00000106819|ensembl:ENSG00000111181|ensembl:ENSG00000010379
CS202210140_25	Fbl_24	ensembl:ENSG00000112936|ensembl:ENSG00000112175
CS202210140_26	Fbl_25	ensembl:ENSG00000119681|ensembl:ENSG00000112837
CS202210140_27	Fbl_26	ensembl:ENSG00000163817|ensembl:ENSG00000204291
CS202210140_28	Fbl_27	ensembl:ENSG00000094963|ensembl:ENSG00000249797|ensembl:ENSG00000141338
CS202210140_29	Fbl_28	ensembl:ENSG00000112936|ensembl:ENSG00000163520|ensembl:ENSG00000164692
CS202210140_30	Fbl_29	ensembl:ENSG00000117394|ensembl:ENSG00000221818|ensembl:ENSG00000138696
CS202210140_31	Fbl_30	ensembl:ENSG00000105641|ensembl:ENSG00000271945
CS202210140_32	Fbl_31	ensembl:ENSG00000168229|ensembl:ENSG00000173068
CS202210140_33	OPC_32	ensembl:ENSG00000117501|ensembl:ENSG00000231424
CS202210140_34	OPC_33	ensembl:ENSG00000231424|ensembl:ENSG00000184221|ensembl:ENSG00000189058
CS202210140_35	OPC_34	ensembl:ENSG00000278254|ensembl:ENSG00000184221|ensembl:ENSG00000286778
CS202210140_36	OPC_35	ensembl:ENSG00000278254|ensembl:ENSG00000184221|ensembl:ENSG00000224184
CS202210140_37	OPC_36	ensembl:ENSG00000278254|ensembl:ENSG00000253877
CS202210140_38	COP_37	ensembl:ENSG00000144230|ensembl:ENSG00000064787|ensembl:ENSG00000116132
CS202210140_39	COP_38	ensembl:ENSG00000236494|ensembl:ENSG00000064787
CS202210140_40	COP_39	ensembl:ENSG00000268518|ensembl:ENSG00000091513
CS202210140_41	Oligo_40	ensembl:ENSG00000197430|ensembl:ENSG00000123560|ensembl:ENSG00000178568
CS202210140_42	COP_41	ensembl:ENSG00000197430|ensembl:ENSG00000227088
CS202210140_43	COP_42	ensembl:ENSG00000253877|ensembl:ENSG00000150656|ensembl:ENSG00000162631
CS202210140_44	COP_43	ensembl:ENSG00000158865|ensembl:ENSG00000168314
CS202210140_45	Oligo_44	ensembl:ENSG00000158865|ensembl:ENSG00000011426|ensembl:ENSG00000172508|ensembl:ENSG00000091513|ensembl:ENSG00000168314
CS202210140_46	Oligo_45	ensembl:ENSG00000158865|ensembl:ENSG00000197430|ensembl:ENSG00000168314|ensembl:ENSG00000167123
CS202210140_47	Oligo_46	ensembl:ENSG00000253877|ensembl:ENSG00000129538|ensembl:ENSG00000150656
CS202210140_48	Oligo_47	ensembl:ENSG00000197430|ensembl:ENSG00000253877|ensembl:ENSG00000123560
CS202210140_49	Oligo_48	ensembl:ENSG00000287069|ensembl:ENSG00000197430
CS202210140_50	Oligo_49	ensembl:ENSG00000158865|ensembl:ENSG00000172508|ensembl:ENSG00000227088|ensembl:ENSG00000091513|ensembl:ENSG00000109846
CS202210140_51	Oligo_50	ensembl:ENSG00000259104|ensembl:ENSG00000158865
CS202210140_52	Bgl_51	ensembl:ENSG00000279082|ensembl:ENSG00000196569
CS202210140_53	Astro_52	ensembl:ENSG00000279082|ensembl:ENSG00000080573
CS202210140_54	Astro_53	ensembl:ENSG00000106571|ensembl:ENSG00000080573
CS202210140_55	Astro_54	ensembl:ENSG00000251165|ensembl:ENSG00000164089|ensembl:ENSG00000106571|ensembl:ENSG00000234377
CS202210140_56	Astro_55	ensembl:ENSG00000068078|ensembl:ENSG00000172987|ensembl:ENSG00000156076
CS202210140_57	Astro_56	ensembl:ENSG00000041982|ensembl:ENSG00000234377|ensembl:ENSG00000179399
CS202210140_58	Astro_57	ensembl:ENSG00000041982|ensembl:ENSG00000068078|ensembl:ENSG00000234377|ensembl:ENSG00000286757|ensembl:ENSG00000257585
CS202210140_59	Astro_58	ensembl:ENSG00000117318|ensembl:ENSG00000251372|ensembl:ENSG00000068078
CS202210140_60	Astro_59	ensembl:ENSG00000133067|ensembl:ENSG00000180347|ensembl:ENSG00000234377|ensembl:ENSG00000172987
CS202210140_61	Astro_60	ensembl:ENSG00000041982|ensembl:ENSG00000251372|ensembl:ENSG00000136160|ensembl:ENSG00000130203
CS202210140_62	Astro_61	ensembl:ENSG00000240583|ensembl:ENSG00000258844|ensembl:ENSG00000131095
CS202210140_63	Astro_62	ensembl:ENSG00000041982|ensembl:ENSG00000280809|ensembl:ENSG00000130203
CS202210140_64	Astro_63	ensembl:ENSG00000131095|ensembl:ENSG00000109846
CS202210140_65	Astro_64	ensembl:ENSG00000287406|ensembl:ENSG00000250602
CS202210140_66	Epen_65	ensembl:ENSG00000197057|ensembl:ENSG00000041982|ensembl:ENSG00000068078
CS202210140_67	Epen_66	ensembl:ENSG00000231557|ensembl:ENSG00000133636
CS202210140_68	Epen_67	ensembl:ENSG00000180264|ensembl:ENSG00000197057|ensembl:ENSG00000234377
CS202210140_69	Epen_68	ensembl:ENSG00000213145|ensembl:ENSG00000105519|ensembl:ENSG00000197171
CS202210140_70	Epen_69	ensembl:ENSG00000105519|ensembl:ENSG00000231557|ensembl:ENSG00000287544
CS202210140_71	Epen_70	ensembl:ENSG00000186439|ensembl:ENSG00000175318|ensembl:ENSG00000197171
CS202210140_72	Epen_71	ensembl:ENSG00000164023|ensembl:ENSG00000197057
CS202210140_73	Epen_72	ensembl:ENSG00000283117|ensembl:ENSG00000287544|ensembl:ENSG00000197171
CS202210140_74	Epen_73	ensembl:ENSG00000287544|ensembl:ENSG00000231557|ensembl:ENSG00000231918
CS202210140_75	Epen_74	ensembl:ENSG00000197057|ensembl:ENSG00000118271
CS202210140_76	COP_75	ensembl:ENSG00000110195|ensembl:ENSG00000223953
CS202210140_77	Chrp_76	ensembl:ENSG00000258312|ensembl:ENSG00000123560|ensembl:ENSG00000248550|ensembl:ENSG00000147488
CS202210140_78	Chrp_77	ensembl:ENSG00000110195|ensembl:ENSG00000258312|ensembl:ENSG00000132386
CS202210140_79	Chrp_78	ensembl:ENSG00000110777|ensembl:ENSG00000112297|ensembl:ENSG00000251170
CS202210140_80	Chrp_79	ensembl:ENSG00000110777|ensembl:ENSG00000111199|ensembl:ENSG00000198691
CS202210140_81	Chrp_80	ensembl:ENSG00000153976|ensembl:ENSG00000258312
CS202210140_82	Chrp_81	ensembl:ENSG00000158104|ensembl:ENSG00000223953
CS202210140_83	Chrp_82	ensembl:ENSG00000136235|ensembl:ENSG00000118271
CS202210140_84	DLNP_83	ensembl:ENSG00000230096
CS202210140_85	DLCT6b_84	ensembl:ENSG00000172139|ensembl:ENSG00000133110|ensembl:ENSG00000197085
CS202210140_86	DLNP_85	ensembl:ENSG00000169836|ensembl:ENSG00000231304|ensembl:ENSG00000253868
CS202210140_87	DLNP_86	ensembl:ENSG00000255733|ensembl:ENSG00000162407|ensembl:ENSG00000120907|ensembl:ENSG00000196090
CS202210140_88	DLNP_87	ensembl:ENSG00000172139|ensembl:ENSG00000187258|ensembl:ENSG00000287907|ensembl:ENSG00000112280
CS202210140_89	DLNP_88	ensembl:ENSG00000255733|ensembl:ENSG00000187258|ensembl:ENSG00000287907|ensembl:ENSG00000135218
CS202210140_90	DLNP_89	ensembl:ENSG00000251002|ensembl:ENSG00000197085|ensembl:ENSG00000287159
CS202210140_91	DLNP_90	ensembl:ENSG00000251002|ensembl:ENSG00000255733|ensembl:ENSG00000249881
CS202210140_92	DLNP_91	ensembl:ENSG00000206531|ensembl:ENSG00000132274|ensembl:ENSG00000253693|ensembl:ENSG00000241956
CS202210140_93	DLNP_92	ensembl:ENSG00000170820|ensembl:ENSG00000275649|ensembl:ENSG00000249881
CS202210140_94	DLNP_93	ensembl:ENSG00000255733|ensembl:ENSG00000249881|ensembl:ENSG00000185483|ensembl:ENSG00000144227
CS202210140_95	DLNP_94	ensembl:ENSG00000206531|ensembl:ENSG00000287424|ensembl:ENSG00000154134|ensembl:ENSG00000287907
CS202210140_96	DLNP_95	ensembl:ENSG00000141052|ensembl:ENSG00000261436|ensembl:ENSG00000170820|ensembl:ENSG00000197085
CS202210140_97	DLNP_96	ensembl:ENSG00000149948|ensembl:ENSG00000239440
CS202210140_98	DLCT6b_97	ensembl:ENSG00000138472|ensembl:ENSG00000254361
CS202210140_99	DLCT6b_98	ensembl:ENSG00000139880|ensembl:ENSG00000164136|ensembl:ENSG00000157554
CS202210140_100	DLCT6b_99	ensembl:ENSG00000197635|ensembl:ENSG00000259846|ensembl:ENSG00000164142
CS202210140_101	DLCT6b_100	ensembl:ENSG00000137573|ensembl:ENSG00000250125|ensembl:ENSG00000171509|ensembl:ENSG00000112902
CS202210140_102	DLCT6b_101	ensembl:ENSG00000237928|ensembl:ENSG00000288016|ensembl:ENSG00000259846
